Age,Gender,Marital Status,Occupation,Monthly Income,Educational Qualifications,Family size,Pin code,Medium (P1),Medium (P2),Meal(P1),Meal(P2),Perference(P1),Perference(P2),Ease and convenient,Time saving,More restaurant choices,Easy Payment option,More Offers and Discount,Good Food quality,Good Tracking system,Health Concern,Late Delivery,Poor Hygiene,Bad past experience,Unavailability,Unaffordable,Long delivery time,Delay of delivery person getting assigned,Delay of delivery person picking up food,Wrong order delivered,Missing item,Order placed by mistake,Influence of time,Order Time,Maximum wait time,Residence in busy location,Google Maps Accuracy,Good Road Condition,Influence of rating,Less Delivery time,High Quality of package,Freshness ,Temperature,Good Taste ,Good Quantity,Output,Reviews,Tokenized_Reviews,Polarity,Subjectivity,Sentiment
22,Male,Single,Student,No Income,Post Graduate,4,560038,Food delivery apps, Direct call,Lunch, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),0,2,0,0,0,2,2,Agree,Agree,Neutral,Neutral,Neutral,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Yes,Anytime (Mon-Sun),30 minutes,Agree,Agree,Agree,2,Moderately Important,Moderately Important,Moderately Important,Moderately Important,Moderately Important,Moderately Important,1,NIL,['nil'],0.0,0.0,Neutral
25,Male,Married,Employee,More than 50000,Ph.D,4,560034,Food delivery apps, Direct call,Lunch, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),0,2,0,2,0,1,2,Agree,Agree,Disagree,Neutral,Agree,Neutral,Agree,Strongly agree,Strongly disagree,Agree,Agree,Disagree,Yes,Anytime (Mon-Sun),30 minutes,Agree,Disagree,Agree,2,Very Important,Slightly Important,Important,Moderately Important,Very Important,Important,1,I expect faster delivery in my area,"['expect', 'faster', 'delivery', 'area']",0.0,0.0,Neutral
22,Female,Single,Student,10001 to 25000,Post Graduate,5,560010,Walk-in, Direct call,Dinner, Dinner,Veg foods (Breakfast / Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),0,0,0,0,3,3,0,Strongly agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Neutral,Neutral,Disagree,Yes,Weekend (Sat & Sun),15 minutes,Agree,Agree,Agree,2,Important,Important,Very Important,Very Important,Very Important,Very Important,1,Nil,['nil'],0.0,0.0,Neutral
22,Female,Single,Student,No Income,Post Graduate,2,560102,Food delivery apps, Direct call,Lunch, Snacks,Veg foods (Breakfast / Lunch / Dinner), Ice cream / Cool drinks,3,3,0,1,1,1,3,Agree,Strongly agree,Disagree,Strongly agree,Disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Neutral,Yes,Weekend (Sat & Sun),15 minutes,Agree,Agree,Disagree,2,Very Important,Very Important,Very Important,Important,Very Important,Important,1,NIL,['nil'],0.0,0.0,Neutral
25,Male,Single,Student,10001 to 25000,Post Graduate,3,560085,Food delivery apps, Walk-in,Lunch, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),0,0,0,0,2,2,0,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Strongly agree,Agree,Strongly disagree,Yes,Anytime (Mon-Sun),45 minutes,Strongly disagree,Strongly Agree,Strongly Agree,2,Moderately Important,Very Important,Very Important,Very Important,Very Important,Important,1,Nil,['nil'],0.0,0.0,Neutral
25,Male,Single,Student,No Income,Post Graduate,5,560009,Food delivery apps, Walk-in,Lunch, Snacks,Veg foods (Breakfast / Lunch / Dinner), Sweets,3,0,3,3,3,3,3,Strongly agree,Strongly agree,Disagree,Neutral,Disagree,Strongly agree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Yes,Anytime (Mon-Sun),45 minutes,Neutral,Agree,Neutral,0,Important,Very Important,Very Important,Important,Very Important,Very Important,0,"Now days delivery ?? is improved a lot like fast delivery ,but now corna time many people are hesitating to order ","['days', 'delivery', 'improved', 'lot', 'like', 'fast', 'delivery', 'corna', 'time', 'many', 'people', 'hesitating', 'order']",0.35,0.55,Positive
32,Female,Prefer not to say,House wife,No Income,Graduate,5,560008,Food delivery apps, Web browser,Breakfast, Lunch,Non Veg foods (Lunch / Dinner), Sweets,0,0,0,2,1,0,0,Disagree,Agree,Neutral,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Neutral,Agree,Yes,Weekdays (Mon-Fri),60 minutes,Agree,Agree,Strongly disagree,2,Important,Important,Moderately Important,Important,Slightly Important,Important,1,I love zomato but it requires quality in deliver service. ,"['love', 'zomato', 'requires', 'quality', 'deliver', 'service']",0.5,0.6,Positive
23,Female,Single,Student,No Income,Post Graduate,3,560004,Food delivery apps, Walk-in,Snacks, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),0,0,0,0,0,2,1,Strongly agree,Agree,Neutral,Agree,Agree,Disagree,Agree,Neutral,Agree,Agree,Strongly agree,Strongly agree,Yes,Weekend (Sat & Sun),45 minutes,Neutral,Agree,Agree,2,Very Important,Very Important,Very Important,Important,Very Important,Very Important,1,NIL,['nil'],0.0,0.0,Neutral
23,Female,Single,Student,No Income,Post Graduate,4,560078,Walk-in, Direct call,Breakfast, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),0,0,0,0,0,2,2,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Agree,Neutral,Yes,Weekend (Sat & Sun),45 minutes,Agree,Neutral,Agree,2,Moderately Important,Moderately Important,Moderately Important,Moderately Important,Moderately Important,Moderately Important,1,NIL,['nil'],0.0,0.0,Neutral
30,Male,Married,Self Employeed,More than 50000,Uneducated,4,560025,Food delivery apps, Web browser,Lunch, Snacks,Veg foods (Breakfast / Lunch / Dinner), Sweets,0,3,0,1,2,0,2,Strongly agree,Agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Agree,Strongly agree,Agree,Neutral,Agree,Strongly agree,Yes,Weekdays (Mon-Fri),More than 60 minutes,Agree,Strongly Agree,Strongly Agree,2,Important,Important,Important,Moderately Important,Important,Important,1,Prefer hygienic delivery people,"['prefer', 'hygienic', 'delivery', 'people']",0.0,0.0,Neutral
